,FIPS Code,Photo ID,Non-Photo ID
Alaska,02,,N
Arizona,04,,S
Arkansas,05,N,
California,06,,
Colorado,08,,N
Connecticut,09,,N
Delaware,10,,N
District of Columbia,11,,
Florida,12,N,
Georgia,13,S,
Hawaii,15,N,
Idaho,16,N,
Illinois,17,,
Indiana,18,S,
Iowa,19,,N
Kansas,20,S,
Kentucky,21,,N
Louisiana,22,N,
Maine,23,,
Maryland,24,,
Massachusetts,25,,
Michigan,26,N,
Minnesota,27,,
Mississippi,28,S,
Missouri,29,,N
Montana,30,,N
Nebraska,31,,
Nevada,32,,
New Hampshire,33,,N
New Jersey,34,,
New Mexico,35,,
New York,36,,
North Carolina,37,,N
North Dakota,38,,S
Ohio,39,,S
Oklahoma,40,,N
Oregon,41,,
Pennsylvania,42,,
Rhode Island,44,N,
South Carolina,45,,N
South Dakota,46,N,
Tennessee,47,S,
Texas,48,N,
Utah,49,,N
Vermont,50,,
Virginia,51,S,
Washington,53,,N
West Virginia,54,,N
Wisconsin,55,S,
Wyoming,56,,
